market.pubkey,market.name,market.expiry_price,market.number_of_users,market.imf_factor,market.unrealized_pnl_imf_factor,market.unrealized_pnl_max_imbalance,market.liquidator_fee,market.if_liquidation_fee,market.expiry_ts,market.next_fill_record_id,market.next_funding_rate_record_id,market.next_curve_record_id,market.margin_ratio_initial,market.margin_ratio_maintenance,market.unrealized_pnl_initial_asset_weight,market.unrealized_pnl_maintenance_asset_weight,market.market_index,market.status,market.contract_type,market.contract_tier,market.padding,market.amm.oracle,market.amm.base_asset_amount_per_lp,market.amm.quote_asset_amount_per_lp,market.amm.last_oracle_normalised_price,market.amm.last_oracle_reserve_price_spread_pct,market.amm.base_asset_reserve,market.amm.quote_asset_reserve,market.amm.concentration_coef,market.amm.min_base_asset_reserve,market.amm.max_base_asset_reserve,market.amm.sqrt_k,market.amm.peg_multiplier,market.amm.terminal_quote_asset_reserve,market.amm.base_asset_amount_long,market.amm.base_asset_amount_short,market.amm.base_asset_amount_with_amm,market.amm.base_asset_amount_with_unsettled_lp,market.amm.quote_asset_amount_long,market.amm.quote_asset_amount_short,market.amm.quote_entry_amount_long,market.amm.quote_entry_amount_short,market.amm.user_lp_shares,market.amm.last_funding_rate,market.amm.last_funding_rate_long,market.amm.last_funding_rate_short,market.amm.last24h_avg_funding_rate,market.amm.total_fee,market.amm.total_mm_fee,market.amm.total_exchange_fee,market.amm.total_fee_minus_distributions,market.amm.total_fee_withdrawn,market.amm.total_liquidation_fee,market.amm.cumulative_funding_rate_long,market.amm.cumulative_funding_rate_short,market.amm.cumulative_social_loss,market.amm.long_spread,market.amm.short_spread,market.amm.ask_base_asset_reserve,market.amm.ask_quote_asset_reserve,market.amm.bid_base_asset_reserve,market.amm.bid_quote_asset_reserve,market.amm.last_bid_price_twap,market.amm.last_ask_price_twap,market.amm.last_mark_price_twap,market.amm.last_mark_price_twap5min,market.amm.last_update_slot,market.amm.last_oracle_conf_pct,market.amm.net_revenue_since_last_funding,market.amm.last_funding_rate_ts,market.amm.funding_period,market.amm.order_step_size,market.amm.order_tick_size,market.amm.min_order_size,market.amm.max_position_size,market.amm.volume24h,market.amm.long_intensity_volume,market.amm.short_intensity_volume,market.amm.last_trade_ts,market.amm.mark_std,market.amm.last_mark_price_twap_ts,market.amm.max_spread,market.amm.max_fill_reserve_fraction,market.amm.max_slippage_ratio,market.amm.base_spread,market.amm.long_intensity_count,market.amm.short_intensity_count,market.amm.curve_update_intensity,market.amm.amm_jit_intensity,market.amm.oracle_source,market.amm.last_oracle_valid,market.amm.padding,market.amm.historical_oracle_data.last_oracle_price,market.amm.historical_oracle_data.last_oracle_conf,market.amm.historical_oracle_data.last_oracle_delay,market.amm.historical_oracle_data.last_oracle_price_twap,market.amm.historical_oracle_data.last_oracle_price_twap5min,market.amm.historical_oracle_data.last_oracle_price_twap_ts,market.amm.fee_pool.scaled_balance,market.amm.fee_pool.market_index,market.amm.fee_pool.padding,market.insurance_claim.revenue_withdraw_since_last_settle,market.insurance_claim.max_revenue_withdraw_per_period,market.insurance_claim.quote_max_insurance,market.insurance_claim.quote_settled_insurance,market.insurance_claim.last_revenue_withdraw_ts,market.pnl_pool.scaled_balance,market.pnl_pool.market_index,market.pnl_pool.padding,slot,write_version,updated_on
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",2R4xdxTdkKH7VC84URQim6H5Nq4H8KF7xr2kcbRuyu2j,0,0,2.431709,0.0,100.0,100.0,1.4142,70.711356243,141.42,100.0,2.431709,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,2.431709,2.431709,2.431709,2.431709,16,0.0,0.0,1666634519,60,100000,1e-05,0.0001,0.0,0.0,0.0,0.0,1666634519,0.0,1666634519,0.038855,100,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.431709,0.0,-228506943,2.431709,2.431709,1666634519,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",16,260,2022-10-24 18:02:00.232186
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",2R4xdxTdkKH7VC84URQim6H5Nq4H8KF7xr2kcbRuyu2j,0,0,2.431709,0.0,100.0,100.0,1.4142,70.711356243,141.42,100.0,2.431709,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,2.431709,2.431709,2.431709,2.431709,16,0.0,0.0,1666634519,60,100000,1e-05,0.0001,0.0,0.0,0.0,0.0,1666634519,0.0,1666634519,0.038855,1,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.431709,0.0,-228506943,2.431709,2.431709,1666634519,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",18,274,2022-10-24 18:02:00.812739
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",2R4xdxTdkKH7VC84URQim6H5Nq4H8KF7xr2kcbRuyu2j,0,0,2.431709,0.0,100.0,100.0,1.4142,70.711356243,141.42,100.0,2.431709,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,2.431709,2.431709,2.431709,2.431709,16,0.0,0.0,1666634519,60,100000,1e-06,0.0001,0.0,0.0,0.0,0.0,1666634519,0.0,1666634519,0.038855,1,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.431709,0.0,-228506943,2.431709,2.431709,1666634519,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",20,290,2022-10-24 18:02:01.782324
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",2R4xdxTdkKH7VC84URQim6H5Nq4H8KF7xr2kcbRuyu2j,0,0,2.431709,0.0,142.5546,142.5546,1.4142,100.802291047,201.60071532,142.5546,2.431709,142.5546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.5546,142.5546,142.5546,142.5546,2.431709,2.431709,2.431709,2.431709,16,0.0,0.0,1666634519,60,100000,1e-06,0.0001,0.0,0.0,0.0,0.0,1666634519,0.0,1666634519,0.038855,1,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.431709,0.0,-228506943,2.431709,2.431709,1666634519,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",24,392,2022-10-24 18:02:04.032233
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,1,0.0,0.0,0.0,0.0,0.01,0,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",2R4xdxTdkKH7VC84URQim6H5Nq4H8KF7xr2kcbRuyu2j,-146442836,417535,2.431709,0.0,121.6785,167.012364396,1.4142,96.395689217,192.787680697,142.5546,2.431709,149.071295573,20.8761,0.0,14.644283692,6.231816308,-59.533641,0.0,-59.474166,0.0,42.5546,0.0,0.0,0.0,0.0,0.059475,0.0,0.059475,0.059475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.6785,167.012364396,121.6785,167.012364396,2.43171,2.43171,2.43171,2.43171,26,0.0,0.059475,1666634519,60,100000,1e-06,0.0001,0.0,59.474166,59.474166,0.0,1666634524,0.0,1666634524,0.038855,1,50,0.0,1,0,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.431709,0.0,-228506933,2.43171,2.43171,1666634524,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",26,411,2022-10-24 18:02:04.672167
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,2,0.0,0.0,0.0,0.0,0.01,0,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",2R4xdxTdkKH7VC84URQim6H5Nq4H8KF7xr2kcbRuyu2j,-146442836,417535,2.431709,0.0,85.355716431,117.156769553,1.4142,70.711367862,141.420023236,100.0,2.431709,99.999983569,20.8761,-6.2318,14.6443,0.0,-59.533641,17.767994,-59.474166,17.768034,0.0,0.0,0.0,0.0,0.0,0.059475,0.0,0.059475,0.059475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.355716431,117.156769553,85.355716431,117.156769553,2.43171,2.43171,2.43171,2.43171,26,0.0,0.059475,1666634519,60,100000,1e-06,0.0001,0.0,59.474166,59.474166,0.0,1666634524,0.0,1666634524,0.038855,1,50,0.0,1,0,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.431709,0.0,-228506933,2.43171,2.43171,1666634524,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",27,421,2022-10-24 18:02:05.254091
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,2,0.0,0.0,0.0,0.0,0.01,1666634526,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.ReduceOnly(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",2R4xdxTdkKH7VC84URQim6H5Nq4H8KF7xr2kcbRuyu2j,-146442836,417535,2.431709,0.0,85.355716431,117.156769553,1.4142,70.711367862,141.420023236,100.0,2.431709,99.999983569,20.8761,-6.2318,14.6443,0.0,-59.533641,17.767994,-59.474166,17.768034,0.0,0.0,0.0,0.0,0.0,0.059475,0.0,0.059475,0.059475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.355716431,117.156769553,85.355716431,117.156769553,2.43171,2.43171,2.43171,2.43171,26,0.0,0.059475,1666634519,60,100000,1e-06,0.0001,0.0,59.474166,59.474166,0.0,1666634524,0.0,1666634524,0.038855,1,50,0.0,1,0,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.431709,0.0,-228506933,2.43171,2.43171,1666634524,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",28,431,2022-10-24 18:02:05.837492
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",2.431709,2,0.0,0.0,0.0,0.0,0.01,1666634526,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Settlement(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",2R4xdxTdkKH7VC84URQim6H5Nq4H8KF7xr2kcbRuyu2j,-146442836,417535,2.431709,0.271439,85.772849817,117.729314686,1.4142,71.006328536,142.009933271,100.4887,2.431709,100.560301164,20.8761,-6.2318,14.6443,0.0,-59.533641,17.767994,-59.474166,17.768034,0.0,0.0,0.0,0.0,0.0,0.059475,0.0,0.059475,0.029741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.772849817,117.729314686,85.772849817,117.729314686,2.43171,2.43171,2.43171,2.43171,34,0.0,0.029741,1666634519,60,100000,1e-06,0.0001,0.0,59.474166,59.474166,0.0,1666634524,0.0,1666634524,0.038855,1,50,0.0,1,0,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.431709,0.0,-228506925,2.43171,2.43171,1666634527,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",34,473,2022-10-24 18:02:08.396298
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",2.431709,2,0.0,0.0,0.0,0.0,0.01,1666634526,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Settlement(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",2R4xdxTdkKH7VC84URQim6H5Nq4H8KF7xr2kcbRuyu2j,-146442836,417535,2.431709,0.271439,85.772849817,117.729314686,1.4142,71.006328536,142.009933271,100.4887,2.431709,100.560301164,20.8761,-6.2318,14.6443,0.0,-59.533641,17.767994,-59.474166,17.768034,0.0,0.0,0.0,0.0,0.0,0.059475,0.0,0.059475,0.029741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.772849817,117.729314686,85.772849817,117.729314686,2.43171,2.43171,2.43171,2.43171,34,0.0,0.029741,1666634519,60,100000,1e-06,0.0001,0.0,59.474166,59.474166,0.0,1666634524,0.0,1666634524,0.038855,1,50,0.0,1,0,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.431709,0.0,-228506925,2.43171,2.43171,1666634527,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",35,486,2022-10-24 18:02:08.978902
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",2.431709,2,0.0,0.0,0.0,0.0,0.01,1666634526,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Settlement(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",2R4xdxTdkKH7VC84URQim6H5Nq4H8KF7xr2kcbRuyu2j,-146442836,417535,2.431709,0.271439,85.772849817,117.729314686,1.4142,71.006328536,142.009933271,100.4887,2.431709,100.560301164,20.8761,-6.2318,14.6443,0.0,-59.533641,17.767994,-59.474166,17.768034,0.0,0.0,0.0,0.0,0.0,0.059475,0.0,0.059475,0.029741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.772849817,117.729314686,85.772849817,117.729314686,2.43171,2.43171,2.43171,2.43171,34,0.0,0.029741,1666634519,60,100000,1e-06,0.0001,0.0,59.474166,59.474166,0.0,1666634524,0.0,1666634524,0.038855,1,50,0.0,1,0,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.431709,0.0,-228506925,2.43171,2.43171,1666634527,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",37,506,2022-10-24 18:02:10.058969
