mint,owner,amount,delegate_option,delegate,state,is_native_option,is_native,delegated_amount,close_authority_option,close_authority,slot,write_version,updated_on
b'\x98\xee\xab[\xd0Q\xcd\x17\xb0Ovb\x18xi\x9daQ5=.\x9bjE\x92\xd6\xaa\xe2/\xac\x9d\xe7',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',11,211,2022-10-24 18:01:57.678455
b'\x98\xee\xab[\xd0Q\xcd\x17\xb0Ovb\x18xi\x9daQ5=.\x9bjE\x92\xd6\xaa\xe2/\xac\x9d\xe7',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',4255468411490,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,351,2022-10-24 18:02:03.358713
b'\x98\xee\xab[\xd0Q\xcd\x17\xb0Ovb\x18xi\x9daQ5=.\x9bjE\x92\xd6\xaa\xe2/\xac\x9d\xe7',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',6254058609187,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,359,2022-10-24 18:02:03.365277
b'\x98\xee\xab[\xd0Q\xcd\x17\xb0Ovb\x18xi\x9daQ5=.\x9bjE\x92\xd6\xaa\xe2/\xac\x9d\xe7',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',16254058609187,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,365,2022-10-24 18:02:03.369811
b'\x98\xee\xab[\xd0Q\xcd\x17\xb0Ovb\x18xi\x9daQ5=.\x9bjE\x92\xd6\xaa\xe2/\xac\x9d\xe7',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',16333068609187,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,374,2022-10-24 18:02:03.373178
b'\x98\xee\xab[\xd0Q\xcd\x17\xb0Ovb\x18xi\x9daQ5=.\x9bjE\x92\xd6\xaa\xe2/\xac\x9d\xe7',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',16334870609187,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,379,2022-10-24 18:02:03.375642
b'\x98\xee\xab[\xd0Q\xcd\x17\xb0Ovb\x18xi\x9daQ5=.\x9bjE\x92\xd6\xaa\xe2/\xac\x9d\xe7',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',12079402197697,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',37,504,2022-10-24 18:02:10.058927
b'\x98\xee\xab[\xd0Q\xcd\x17\xb0Ovb\x18xi\x9daQ5=.\x9bjE\x92\xd6\xaa\xe2/\xac\x9d\xe7',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',2079402197697,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',39,527,2022-10-24 18:02:11.098057
b'\x98\xee\xab[\xd0Q\xcd\x17\xb0Ovb\x18xi\x9daQ5=.\x9bjE\x92\xd6\xaa\xe2/\xac\x9d\xe7',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',2077600197697,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',42,554,2022-10-24 18:02:12.196808
b'\x98\xee\xab[\xd0Q\xcd\x17\xb0Ovb\x18xi\x9daQ5=.\x9bjE\x92\xd6\xaa\xe2/\xac\x9d\xe7',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',1998599017502,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',46,598,2022-10-24 18:02:14.198562
