slot,ix_name,ix_args,error
25,add_liquidity,"{'n_shares': 69264990542, 'market_index': 0}",
28,add_liquidity,"{'n_shares': 70920265264, 'market_index': 0}",
31,add_liquidity,"{'n_shares': 51991978450, 'market_index': 0}",
33,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 375651117, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
36,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 528249741, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
39,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1204981540, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
42,add_liquidity,"{'n_shares': 59511279735, 'market_index': 0}",
44,add_liquidity,"{'n_shares': 30472137429, 'market_index': 0}",
47,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1315329003, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
50,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 574415248, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
54,add_liquidity,"{'n_shares': 25939118261, 'market_index': 0}",
57,add_liquidity,"{'n_shares': 7906655183, 'market_index': 0}",
60,add_liquidity,"{'n_shares': 39957837210, 'market_index': 0}",
62,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1094405097, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
66,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1463503278, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
69,add_liquidity,"{'n_shares': 69220818864, 'market_index': 0}",
72,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1462711869, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
75,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1600175578, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
78,add_liquidity,"{'n_shares': 58669846841, 'market_index': 0}",
