market.pubkey,market.name,market.expiry_price,market.number_of_users,market.imf_factor,market.unrealized_pnl_imf_factor,market.unrealized_pnl_max_imbalance,market.liquidator_fee,market.if_liquidation_fee,market.expiry_ts,market.next_fill_record_id,market.next_funding_rate_record_id,market.next_curve_record_id,market.margin_ratio_initial,market.margin_ratio_maintenance,market.unrealized_pnl_initial_asset_weight,market.unrealized_pnl_maintenance_asset_weight,market.market_index,market.status,market.contract_type,market.contract_tier,market.padding,market.amm.oracle,market.amm.base_asset_amount_per_lp,market.amm.quote_asset_amount_per_lp,market.amm.last_oracle_normalised_price,market.amm.last_oracle_reserve_price_spread_pct,market.amm.base_asset_reserve,market.amm.quote_asset_reserve,market.amm.concentration_coef,market.amm.min_base_asset_reserve,market.amm.max_base_asset_reserve,market.amm.sqrt_k,market.amm.peg_multiplier,market.amm.terminal_quote_asset_reserve,market.amm.base_asset_amount_long,market.amm.base_asset_amount_short,market.amm.base_asset_amount_with_amm,market.amm.base_asset_amount_with_unsettled_lp,market.amm.quote_asset_amount_long,market.amm.quote_asset_amount_short,market.amm.quote_entry_amount_long,market.amm.quote_entry_amount_short,market.amm.user_lp_shares,market.amm.last_funding_rate,market.amm.last_funding_rate_long,market.amm.last_funding_rate_short,market.amm.last24h_avg_funding_rate,market.amm.total_fee,market.amm.total_mm_fee,market.amm.total_exchange_fee,market.amm.total_fee_minus_distributions,market.amm.total_fee_withdrawn,market.amm.total_liquidation_fee,market.amm.cumulative_funding_rate_long,market.amm.cumulative_funding_rate_short,market.amm.cumulative_social_loss,market.amm.long_spread,market.amm.short_spread,market.amm.ask_base_asset_reserve,market.amm.ask_quote_asset_reserve,market.amm.bid_base_asset_reserve,market.amm.bid_quote_asset_reserve,market.amm.last_bid_price_twap,market.amm.last_ask_price_twap,market.amm.last_mark_price_twap,market.amm.last_mark_price_twap5min,market.amm.last_update_slot,market.amm.last_oracle_conf_pct,market.amm.net_revenue_since_last_funding,market.amm.last_funding_rate_ts,market.amm.funding_period,market.amm.order_step_size,market.amm.order_tick_size,market.amm.min_order_size,market.amm.max_position_size,market.amm.volume24h,market.amm.long_intensity_volume,market.amm.short_intensity_volume,market.amm.last_trade_ts,market.amm.mark_std,market.amm.last_mark_price_twap_ts,market.amm.max_spread,market.amm.max_fill_reserve_fraction,market.amm.max_slippage_ratio,market.amm.base_spread,market.amm.long_intensity_count,market.amm.short_intensity_count,market.amm.curve_update_intensity,market.amm.amm_jit_intensity,market.amm.oracle_source,market.amm.last_oracle_valid,market.amm.padding,market.amm.historical_oracle_data.last_oracle_price,market.amm.historical_oracle_data.last_oracle_conf,market.amm.historical_oracle_data.last_oracle_delay,market.amm.historical_oracle_data.last_oracle_price_twap,market.amm.historical_oracle_data.last_oracle_price_twap5min,market.amm.historical_oracle_data.last_oracle_price_twap_ts,market.amm.fee_pool.scaled_balance,market.amm.fee_pool.market_index,market.amm.fee_pool.padding,market.insurance_claim.revenue_withdraw_since_last_settle,market.insurance_claim.max_revenue_withdraw_per_period,market.insurance_claim.quote_max_insurance,market.insurance_claim.quote_settled_insurance,market.insurance_claim.last_revenue_withdraw_ts,market.pnl_pool.scaled_balance,market.pnl_pool.market_index,market.pnl_pool.padding,slot,write_version,updated_on
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",EsvK7H4NqVSYSu4v2LFTyRFbg4b2wgFTB1C3P1EZm6UT,0,0,61.529536,0.0,36.7621,36.7621,1.4142,25.994979493,51.98896182,36.7621,61.529536,36.7621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7621,36.7621,36.7621,36.7621,61.529536,61.529536,61.529536,61.529536,16,0.0,0.0,1666616408,60,100000,1e-05,0.0001,0.0,0.0,0.0,0.0,1666616408,0.0,1666616408,0.038855,100,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",61.529536,0.0,-228506943,61.529536,61.529536,1666616408,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",16,260,2022-10-24 13:00:09.455759
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",EsvK7H4NqVSYSu4v2LFTyRFbg4b2wgFTB1C3P1EZm6UT,0,0,61.529536,0.0,36.7621,36.7621,1.4142,25.994979493,51.98896182,36.7621,61.529536,36.7621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7621,36.7621,36.7621,36.7621,61.529536,61.529536,61.529536,61.529536,16,0.0,0.0,1666616408,60,100000,1e-05,0.0001,0.0,0.0,0.0,0.0,1666616408,0.0,1666616408,0.038855,1,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",61.529536,0.0,-228506943,61.529536,61.529536,1666616408,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",18,274,2022-10-24 13:00:10.014147
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",EsvK7H4NqVSYSu4v2LFTyRFbg4b2wgFTB1C3P1EZm6UT,0,0,61.529536,0.0,36.7621,36.7621,1.4142,25.994979493,51.98896182,36.7621,61.529536,36.7621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7621,36.7621,36.7621,36.7621,61.529536,61.529536,61.529536,61.529536,16,0.0,0.0,1666616408,60,100000,1e-06,0.0001,0.0,0.0,0.0,0.0,1666616408,0.0,1666616408,0.038855,1,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",61.529536,0.0,-228506943,61.529536,61.529536,1666616408,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",20,292,2022-10-24 13:00:10.977584
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",EsvK7H4NqVSYSu4v2LFTyRFbg4b2wgFTB1C3P1EZm6UT,0,0,61.529536,0.0,106.026999972,106.027000028,1.4142,74.973129664,149.94338336,106.027,61.529536,106.027000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.2649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.026999972,106.027000028,106.026999972,106.027000028,61.529536,61.529536,61.529536,61.529536,16,0.0,0.0,1666616408,60,100000,1e-06,0.0001,0.0,0.0,0.0,0.0,1666616408,0.0,1666616408,0.038855,1,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",61.529536,0.0,-228506943,61.529536,61.529536,1666616408,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",26,493,2022-10-24 13:00:14.103011
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",EsvK7H4NqVSYSu4v2LFTyRFbg4b2wgFTB1C3P1EZm6UT,0,0,61.529536,0.0,176.94719991,176.94720009,1.4142,125.121764891,250.238730112,176.9472,61.529536,176.94720009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.94719991,176.94720009,176.94719991,176.94720009,61.529536,61.529536,61.529536,61.529536,16,0.0,0.0,1666616408,60,100000,1e-06,0.0001,0.0,0.0,0.0,0.0,1666616408,0.0,1666616408,0.038855,1,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",61.529536,0.0,-228506943,61.529536,61.529536,1666616408,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",29,518,2022-10-24 13:00:15.406122
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",EsvK7H4NqVSYSu4v2LFTyRFbg4b2wgFTB1C3P1EZm6UT,0,0,61.529536,0.0,228.939099853,228.939100147,1.4142,161.885942478,323.765675012,228.9391,61.529536,228.939100147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.939099853,228.939100147,228.939099853,228.939100147,61.529536,61.529536,61.529536,61.529536,16,0.0,0.0,1666616408,60,100000,1e-06,0.0001,0.0,0.0,0.0,0.0,1666616408,0.0,1666616408,0.038855,1,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",61.529536,0.0,-228506943,61.529536,61.529536,1666616408,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",32,544,2022-10-24 13:00:16.709539
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,1,0.0,0.0,0.0,0.0,0.01,0,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",EsvK7H4NqVSYSu4v2LFTyRFbg4b2wgFTB1C3P1EZm6UT,1640610,-100700,63.12945,-0.026002,229.314699853,228.56411535,1.4142,162.10888655,324.211554604,228.9391,61.529536,228.624246246,0.0,-0.3756,-0.060312493,-0.315287507,0.0,23.049567,0.0,23.07264,192.177,0.0,0.0,0.0,0.0,0.023073,0.0,0.023073,0.023073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.314699853,228.56411535,229.314699853,228.56411535,61.529537,61.769524,61.64953,61.553535,34,0.0,0.023073,1666616408,60,100000,1e-06,0.0001,0.0,23.07264,23.07264,0.0,1666616417,0.0,1666616417,0.038855,1,50,0.0,1,0,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",63.12945,0.0,2,61.769524,61.577534,1666616417,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",34,564,2022-10-24 13:00:17.991210
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,2,0.0,0.0,0.0,0.0,0.01,0,3,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",EsvK7H4NqVSYSu4v2LFTyRFbg4b2wgFTB1C3P1EZm6UT,3947773,-241756,62.354981,-0.016743,229.842899853,228.038854114,1.4142,162.422409152,324.83858778,228.9391,61.529536,228.182934798,0.0,-0.9038,-0.14512883,-0.75867117,0.0,55.336327,0.0,55.39172,192.177,0.0,0.0,0.0,0.0,0.055393,0.0,0.055393,0.055393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.842899853,228.038854114,229.842899853,228.038854114,61.526181,61.779282,61.652731,61.554496,37,0.0,0.055393,1666616408,60,100000,1e-06,0.0001,0.0,55.391452,55.38531,0.0,1666616418,0.321391,1666616418,0.038855,1,50,0.0,1,0,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",62.354981,0.0,2,61.779282,61.580126,1666616418,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",37,592,2022-10-24 13:00:19.280452
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,3,0.0,0.0,0.0,0.0,0.01,0,4,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",EsvK7H4NqVSYSu4v2LFTyRFbg4b2wgFTB1C3P1EZm6UT,9210744,-561111,62.114131,-0.017487,231.047799853,226.84964558,1.4142,163.137599349,326.26894074,228.9391,61.529536,227.182587859,0.0,-2.1087,-0.338606853,-1.770093147,0.0,128.434604,0.0,128.563169,192.177,0.0,0.0,0.0,0.0,0.128565,0.0,0.128565,0.128565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.047799853,226.84964558,231.047799853,226.84964558,61.510195,61.790444,61.650319,61.554669,40,0.0,0.128565,1666616408,60,100000,1e-06,0.0001,0.0,128.561618,128.525989,0.0,1666616420,0.606143,1666616420,0.038855,1,50,0.0,1,0,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",62.114131,0.0,3,61.790444,61.583687,1666616420,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",40,620,2022-10-24 13:00:20.621647
BijpFghwkVuKrAiXwLYVXxC7bp8xF2tifzX5D7QF2XVW,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,3,0.0,0.0,0.0,0.0,0.01,0,4,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",EsvK7H4NqVSYSu4v2LFTyRFbg4b2wgFTB1C3P1EZm6UT,9210744,-561111,62.114131,-0.017487,291.107142191,285.817705961,1.4142,205.606374867,411.204862674,288.4503,61.529536,286.150547456,0.0,-2.1087,-0.338606853,-1.770093147,0.0,128.434604,0.0,128.563169,251.6882,0.0,0.0,0.0,0.0,0.128565,0.0,0.128565,0.128565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.107142191,285.817705961,291.107142191,285.817705961,61.510195,61.790444,61.650319,61.554669,40,0.0,0.128565,1666616408,60,100000,1e-06,0.0001,0.0,128.561618,128.525989,0.0,1666616420,0.606143,1666616420,0.038855,1,50,0.0,1,0,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",62.114131,0.0,3,61.790444,61.583687,1666616420,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",43,648,2022-10-24 13:00:21.968516
