mint,owner,amount,delegate_option,delegate,state,is_native_option,is_native,delegated_amount,close_authority_option,close_authority,slot,write_version,updated_on
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',11,211,2022-10-24 13:00:06.910666
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',957132707,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,394,2022-10-24 13:00:12.587775
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',200000957132707,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,400,2022-10-24 13:00:12.593818
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',200001844852503,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,407,2022-10-24 13:00:12.607711
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',400001844852503,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,415,2022-10-24 13:00:12.613966
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',400002958334801,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,422,2022-10-24 13:00:12.620215
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',410002958334801,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,428,2022-10-24 13:00:12.623358
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',410004035931519,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,435,2022-10-24 13:00:12.625406
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',610004035931519,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,442,2022-10-24 13:00:12.626415
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',810004035931519,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,450,2022-10-24 13:00:12.629819
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',1010004035931519,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,458,2022-10-24 13:00:12.668764
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',1010004999805658,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,463,2022-10-24 13:00:12.674828
