market.pubkey,market.name,market.expiry_price,market.number_of_users,market.imf_factor,market.unrealized_pnl_imf_factor,market.unrealized_pnl_max_imbalance,market.liquidator_fee,market.if_liquidation_fee,market.expiry_ts,market.next_fill_record_id,market.next_funding_rate_record_id,market.next_curve_record_id,market.margin_ratio_initial,market.margin_ratio_maintenance,market.unrealized_pnl_initial_asset_weight,market.unrealized_pnl_maintenance_asset_weight,market.market_index,market.status,market.contract_type,market.contract_tier,market.padding,market.amm.oracle,market.amm.base_asset_amount_per_lp,market.amm.quote_asset_amount_per_lp,market.amm.last_oracle_normalised_price,market.amm.last_oracle_reserve_price_spread_pct,market.amm.base_asset_reserve,market.amm.quote_asset_reserve,market.amm.concentration_coef,market.amm.min_base_asset_reserve,market.amm.max_base_asset_reserve,market.amm.sqrt_k,market.amm.peg_multiplier,market.amm.terminal_quote_asset_reserve,market.amm.base_asset_amount_long,market.amm.base_asset_amount_short,market.amm.base_asset_amount_with_amm,market.amm.base_asset_amount_with_unsettled_lp,market.amm.max_open_interest,market.amm.quote_asset_amount_long,market.amm.quote_asset_amount_short,market.amm.quote_entry_amount_long,market.amm.quote_entry_amount_short,market.amm.user_lp_shares,market.amm.last_funding_rate,market.amm.last_funding_rate_long,market.amm.last_funding_rate_short,market.amm.last24h_avg_funding_rate,market.amm.total_fee,market.amm.total_mm_fee,market.amm.total_exchange_fee,market.amm.total_fee_minus_distributions,market.amm.total_fee_withdrawn,market.amm.total_liquidation_fee,market.amm.cumulative_funding_rate_long,market.amm.cumulative_funding_rate_short,market.amm.cumulative_social_loss,market.amm.long_spread,market.amm.short_spread,market.amm.ask_base_asset_reserve,market.amm.ask_quote_asset_reserve,market.amm.bid_base_asset_reserve,market.amm.bid_quote_asset_reserve,market.amm.last_bid_price_twap,market.amm.last_ask_price_twap,market.amm.last_mark_price_twap,market.amm.last_mark_price_twap5min,market.amm.last_update_slot,market.amm.last_oracle_conf_pct,market.amm.net_revenue_since_last_funding,market.amm.last_funding_rate_ts,market.amm.funding_period,market.amm.order_step_size,market.amm.order_tick_size,market.amm.min_order_size,market.amm.max_position_size,market.amm.volume24h,market.amm.long_intensity_volume,market.amm.short_intensity_volume,market.amm.last_trade_ts,market.amm.mark_std,market.amm.last_mark_price_twap_ts,market.amm.max_spread,market.amm.max_fill_reserve_fraction,market.amm.max_slippage_ratio,market.amm.base_spread,market.amm.long_intensity_count,market.amm.short_intensity_count,market.amm.curve_update_intensity,market.amm.amm_jit_intensity,market.amm.oracle_source,market.amm.last_oracle_valid,market.amm.padding,market.amm.historical_oracle_data.last_oracle_price,market.amm.historical_oracle_data.last_oracle_conf,market.amm.historical_oracle_data.last_oracle_delay,market.amm.historical_oracle_data.last_oracle_price_twap,market.amm.historical_oracle_data.last_oracle_price_twap5min,market.amm.historical_oracle_data.last_oracle_price_twap_ts,market.amm.fee_pool.scaled_balance,market.amm.fee_pool.market_index,market.amm.fee_pool.padding,market.insurance_claim.revenue_withdraw_since_last_settle,market.insurance_claim.max_revenue_withdraw_per_period,market.insurance_claim.quote_max_insurance,market.insurance_claim.quote_settled_insurance,market.insurance_claim.last_revenue_withdraw_ts,market.pnl_pool.scaled_balance,market.pnl_pool.market_index,market.pnl_pool.padding,slot,write_version,updated_on
FwMFJfdAoaqSra7ZNZ7rBLqbFKcUxBesFuaPvN9sDuSj,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",9GNQjKGgCxrNrSaxMb7ykqPLaGjv2oHhSGCdRVuqSDHv,0,0,2.191688,0.0,36.7621,36.7621,1.4142,25.994979493,51.98896182,36.7621,2.191688,36.7621,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7621,36.7621,36.7621,36.7621,2.191688,2.191688,2.191688,2.191688,18,0.0,0.0,1666642243,60,100000,1e-05,0.0001,0.0,0.0,0.0,0.0,1666642243,0.0,1666642243,0.038855,100,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.191688,0.0,-228506941,2.191688,2.191688,1666642243,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",18,274,2022-10-24 20:10:44.445379
FwMFJfdAoaqSra7ZNZ7rBLqbFKcUxBesFuaPvN9sDuSj,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",9GNQjKGgCxrNrSaxMb7ykqPLaGjv2oHhSGCdRVuqSDHv,0,0,2.191688,0.0,36.7621,36.7621,1.4142,25.994979493,51.98896182,36.7621,2.191688,36.7621,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7621,36.7621,36.7621,36.7621,2.191688,2.191688,2.191688,2.191688,18,0.0,0.0,1666642243,60,100000,1e-05,0.0001,0.0,0.0,0.0,0.0,1666642243,0.0,1666642243,0.038855,1,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.191688,0.0,-228506941,2.191688,2.191688,1666642243,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",19,283,2022-10-24 20:10:44.956297
FwMFJfdAoaqSra7ZNZ7rBLqbFKcUxBesFuaPvN9sDuSj,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,0,0.0,0.0,0.0,0.0,0.01,0,1,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",9GNQjKGgCxrNrSaxMb7ykqPLaGjv2oHhSGCdRVuqSDHv,0,0,2.191688,0.0,36.7621,36.7621,1.4142,25.994979493,51.98896182,36.7621,2.191688,36.7621,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7621,36.7621,36.7621,36.7621,2.191688,2.191688,2.191688,2.191688,18,0.0,0.0,1666642243,60,100000,1e-06,0.0001,0.0,0.0,0.0,0.0,1666642243,0.0,1666642243,0.038855,1,50,0.0,0,0,0,0,OracleSource.Pyth(),False,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.191688,0.0,-228506941,2.191688,2.191688,1666642243,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",20,292,2022-10-24 20:10:45.466699
FwMFJfdAoaqSra7ZNZ7rBLqbFKcUxBesFuaPvN9sDuSj,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,1,0.0,0.0,0.0,0.0,0.01,0,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",9GNQjKGgCxrNrSaxMb7ykqPLaGjv2oHhSGCdRVuqSDHv,0,0,1.521104,0.305966,44.3755,30.454913103,1.4142,25.994979493,51.98896182,36.7621,2.191688,36.7621,0.0,-7.6134,-7.6134,0.0,0,0.0,13.809561,0.0,13.823385,0.0,0.0,0.0,0.0,0.0,0.013824,0.0,0.013824,0.013824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3755,30.454913103,44.3755,30.454913103,2.191689,2.191689,2.191689,2.191689,25,0.0,0.013824,1666642243,60,100000,1e-06,0.0001,0.0,13.823385,0.0,13.823385,1666642247,0.0,1666642247,0.038855,1,50,0.0,0,1,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",1.521104,0.0,2,2.146983,2.182747,1666642247,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",25,375,2022-10-24 20:10:48.160465
FwMFJfdAoaqSra7ZNZ7rBLqbFKcUxBesFuaPvN9sDuSj,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,1,0.0,0.0,0.0,0.0,0.01,0,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",9GNQjKGgCxrNrSaxMb7ykqPLaGjv2oHhSGCdRVuqSDHv,0,0,1.521104,0.305966,116.84671574,80.191920678,1.4142,77.240359029,154.477755119,96.7996,2.191688,85.781178541,0.0,-7.6134,-7.6134,0.0,0,0.0,13.809561,0.0,13.823385,60.0375,0.0,0.0,0.0,0.0,0.013824,0.0,0.013824,0.013824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.84671574,80.191920678,116.84671574,80.191920678,2.191689,2.191689,2.191689,2.191689,25,0.0,0.013824,1666642243,60,100000,1e-06,0.0001,0.0,13.823385,0.0,13.823385,1666642247,0.0,1666642247,0.038855,1,50,0.0,0,1,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",1.521104,0.0,2,2.146983,2.182747,1666642247,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",29,411,2022-10-24 20:10:49.849572
FwMFJfdAoaqSra7ZNZ7rBLqbFKcUxBesFuaPvN9sDuSj,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,1,0.0,0.0,0.0,0.0,0.01,0,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",9GNQjKGgCxrNrSaxMb7ykqPLaGjv2oHhSGCdRVuqSDHv,0,0,1.521104,0.305966,116.84671574,80.191920678,1.4142,77.240359029,154.477755119,96.7996,2.191688,85.781178541,0.0,-7.6134,-7.6134,0.0,0,0.0,13.809561,0.0,13.823385,60.0375,0.0,0.0,0.0,0.0,0.013824,0.0,0.013824,0.013824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.84671574,80.191920678,116.84671574,80.191920678,2.191689,2.191689,2.191689,2.191689,25,0.0,0.013824,1666642243,60,100000,1e-06,0.0001,0.0,13.823385,0.0,13.823385,1666642247,0.0,1666642247,0.038855,1,50,0.0,0,1,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",1.521104,0.0,2,2.146983,2.182747,1666642247,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",31,430,2022-10-24 20:10:50.959212
FwMFJfdAoaqSra7ZNZ7rBLqbFKcUxBesFuaPvN9sDuSj,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,1,0.0,0.0,0.0,0.0,0.01,0,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Active(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",9GNQjKGgCxrNrSaxMb7ykqPLaGjv2oHhSGCdRVuqSDHv,0,0,1.521104,0.305966,44.375500029,30.454913083,1.4142,25.994979514,51.988961861,36.7621,2.191688,36.762099971,0.0,-7.6134,-7.6134,0.0,0,0.0,13.809561,0.0,13.823385,0.0,0.0,0.0,0.0,0.0,0.013824,0.0,0.013824,0.013824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.375500029,30.454913083,44.375500029,30.454913083,2.191689,2.191689,2.191689,2.191689,25,0.0,0.013824,1666642243,60,100000,1e-06,0.0001,0.0,13.823385,0.0,13.823385,1666642247,0.0,1666642247,0.038855,1,50,0.0,0,1,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",1.521104,0.0,2,2.146983,2.182747,1666642247,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",35,463,2022-10-24 20:10:52.572592
FwMFJfdAoaqSra7ZNZ7rBLqbFKcUxBesFuaPvN9sDuSj,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",0.0,1,0.0,0.0,0.0,0.0,0.01,1666642254,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.ReduceOnly(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",9GNQjKGgCxrNrSaxMb7ykqPLaGjv2oHhSGCdRVuqSDHv,0,0,1.521104,0.305966,44.375500029,30.454913083,1.4142,25.994979514,51.988961861,36.7621,2.191688,36.762099971,0.0,-7.6134,-7.6134,0.0,0,0.0,13.809561,0.0,13.823385,0.0,0.0,0.0,0.0,0.0,0.013824,0.0,0.013824,0.013824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.375500029,30.454913083,44.375500029,30.454913083,2.191689,2.191689,2.191689,2.191689,25,0.0,0.013824,1666642243,60,100000,1e-06,0.0001,0.0,13.823385,0.0,13.823385,1666642247,0.0,1666642247,0.038855,1,50,0.0,0,1,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",1.521104,0.0,2,2.146983,2.182747,1666642247,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",36,472,2022-10-24 20:10:53.121970
FwMFJfdAoaqSra7ZNZ7rBLqbFKcUxBesFuaPvN9sDuSj,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",2.145823,1,0.0,0.0,0.0,0.0,0.01,1666642254,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Settlement(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",9GNQjKGgCxrNrSaxMb7ykqPLaGjv2oHhSGCdRVuqSDHv,0,0,2.137023,-0.420746,44.48293307,30.528644458,1.4142,26.070946874,52.140893667,36.851101044,2.191688,36.832678232,0.0,-7.6134,-7.6134,0.0,0,0.0,13.809561,0.0,13.823385,0.0,0.0,0.0,0.0,0.0,0.013824,0.0,0.013824,0.006914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.48293307,30.528644458,44.48293307,30.528644458,2.191689,2.191689,2.191689,2.191689,41,0.0,0.006914,1666642243,60,100000,1e-06,0.0001,0.0,13.823385,0.0,13.823385,1666642247,0.0,1666642247,0.038855,1,50,0.0,0,1,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.137023,0.0,10,2.145822,2.181681,1666642254,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",41,510,2022-10-24 20:10:55.653849
FwMFJfdAoaqSra7ZNZ7rBLqbFKcUxBesFuaPvN9sDuSj,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",2.145823,1,0.0,0.0,0.0,0.0,0.01,1666642254,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Settlement(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",9GNQjKGgCxrNrSaxMb7ykqPLaGjv2oHhSGCdRVuqSDHv,0,0,2.137023,-0.420746,44.48293307,30.528644458,1.4142,26.070946874,52.140893667,36.851101044,2.191688,36.832678232,0.0,-7.6134,-7.6134,0.0,0,0.0,13.809561,0.0,13.823385,0.0,0.0,0.0,0.0,0.0,0.013824,0.0,0.013824,0.006914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.48293307,30.528644458,44.48293307,30.528644458,2.191689,2.191689,2.191689,2.191689,41,0.0,0.006914,1666642243,60,100000,1e-06,0.0001,0.0,13.823385,0.0,13.823385,1666642247,0.0,1666642247,0.038855,1,50,0.0,0,1,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.137023,0.0,10,2.145822,2.181681,1666642254,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",43,524,2022-10-24 20:10:56.274631
FwMFJfdAoaqSra7ZNZ7rBLqbFKcUxBesFuaPvN9sDuSj,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0",2.145823,0,0.0,0.0,0.0,0.0,0.01,1666642254,2,1,1,0.0909,0.05,1.0,1.0,0,MarketStatus.Settlement(),ContractType.Perpetual(),ContractTier.Speculative(),"ListContainer: 
    0
    0
    0",9GNQjKGgCxrNrSaxMb7ykqPLaGjv2oHhSGCdRVuqSDHv,0,0,2.137023,-0.420746,44.48293307,30.528644458,1.4142,26.070946874,52.140893667,36.851101044,2.191688,36.832678232,0.0,0.0,0.0,0.0,0,2.527447,-2.527447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013824,0.0,0.013824,0.006914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.48293307,30.528644458,44.48293307,30.528644458,2.191689,2.191689,2.191689,2.191689,41,0.0,0.006914,1666642243,60,100000,1e-06,0.0001,0.0,13.823385,0.0,13.823385,1666642247,0.0,1666642247,0.038855,1,50,0.0,0,1,0,0,OracleSource.Pyth(),True,"ListContainer: 
    0
    0
    0
    0
    0
    0",2.137023,0.0,10,2.145822,2.181681,1666642254,0.0,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",0.0,0.0,0.0,0.0,0,2.543784,0,"ListContainer: 
    0
    0
    0
    0
    0
    0",46,553,2022-10-24 20:10:57.783217
